role,selector,threshold_policy,threshold_value,BER,True+,True-,ROC_AUC,PR_AUC,MCC,F2,lockbox_n,lockbox_fails,threshold_at_TNR90,TNR_at_TNR90,TPR_at_TNR90,FP,FN
primary,ReliefF,scientific,0.6131574932866221,0.2777777777777778,0.4444444444444444,1.0,0.7566371681415929,0.5340345784292463,0.6594121888655341,0.5,235,9,0.46800367016083266,0.9026548672566371,0.5555555555555556,0,5
primary,ReliefF,operational,0.7843330168388863,0.38888888888888884,0.2222222222222222,1.0,0.7566371681415929,0.5340345784292463,0.46426933790756136,0.2631578947368421,235,9,0.46800367016083266,0.9026548672566371,0.5555555555555556,0,7
