selector,classifier,replication_mode,alpha,gamma,C,n_neighbors,threshold_oof_global,mean_BER_oof,std_BER_fold,mean_True+_oof,mean_True-_oof,mean_n_selected_features,min_n_selected_features,max_n_selected_features,n_folds
Gram-Schmidt,krr,with_missing_indicators,1.0,1.0,,,-1.7324301394316458e-07,0.36544376675955625,0.08626454897966467,0.6730769230769231,0.5960355434039645,40.0,40,40,10
Gram-Schmidt,krr,with_missing_indicators,10.0,,,,-0.016991456023174655,0.33129370629370625,0.08297778135693785,0.5192307692307693,0.8181818181818182,40.0,40,40,10
Gram-Schmidt,krr,with_missing_indicators,10.0,0.01,,,-0.045707032545998894,0.3432094221567905,0.0796528864917065,0.5384615384615384,0.7751196172248804,40.0,40,40,10
Gram-Schmidt,krr,with_missing_indicators,10.0,0.1,,,-0.14098992287945886,0.3469885377780114,0.1088785074012284,0.6730769230769231,0.632946001367054,40.0,40,40,10
Gram-Schmidt,krr,with_missing_indicators,10.0,1.0,,,-2.3856699811274224e-08,0.3657625269467375,0.0910793557146125,0.6826923076923077,0.5857826384142174,40.0,40,40,10
S2N,logreg,strict,,,0.01,,0.5029062515655193,0.3475603344024396,0.0844299139577121,0.5769230769230769,0.7279562542720438,40.0,40,40,10
S2N,logreg,strict,,,0.1,,0.5415677539722863,0.35211827646038174,0.07672574116872494,0.5288461538461539,0.7669172932330827,40.0,40,40,10
S2N,logreg,strict,,,1.0,,0.5201120901992649,0.34211512172038483,0.10818670455778151,0.5673076923076923,0.7484620642515379,40.0,40,40,10
S2N,logreg,strict,,,10.0,,0.47072904872500476,0.340656054471844,0.10036287333829262,0.6057692307692307,0.7129186602870813,40.0,40,40,10
S2N,logreg,with_missing_indicators,,,0.01,,0.40416100359229173,0.34748803827751196,0.06521981379096642,0.75,0.5550239234449761,40.0,40,40,10
S2N,logreg,with_missing_indicators,,,0.1,,0.32922396171958757,0.35694239970555763,0.05923697021554653,0.7980769230769231,0.4880382775119617,40.0,40,40,10
S2N,logreg,with_missing_indicators,,,1.0,,0.32521641349206853,0.3607708081392291,0.06039963323208362,0.7692307692307693,0.5092276144907724,40.0,40,40,10
S2N,logreg,with_missing_indicators,,,10.0,,0.41042658387255165,0.36138861138861134,0.05723847944326108,0.6538461538461539,0.6233766233766234,40.0,40,40,10
Welch-t,logreg,strict,,,0.01,,0.49657974432704377,0.3454407434670592,0.058550535402689396,0.6057692307692307,0.7033492822966507,40.0,40,40,10
Welch-t,logreg,strict,,,0.1,,0.5473139276836758,0.34901940165098067,0.08099645072980444,0.5384615384615384,0.7634996582365003,40.0,40,40,10
Welch-t,logreg,strict,,,1.0,,0.5983602507344885,0.34295967190704035,0.09453039379067785,0.5,0.8140806561859193,40.0,40,40,10
Welch-t,logreg,strict,,,10.0,,0.574697403401823,0.34428071928071924,0.0971676489409148,0.5192307692307693,0.7922077922077922,40.0,40,40,10
Welch-t,logreg,with_missing_indicators,,,0.01,,0.505959615724288,0.30014393501235603,0.0900235321375354,0.6826923076923077,0.7170198222829802,40.0,40,40,10
Welch-t,logreg,with_missing_indicators,,,0.1,,0.48886074780674454,0.3058849045691151,0.09272879569941794,0.7115384615384616,0.6766917293233082,40.0,40,40,10
Welch-t,logreg,with_missing_indicators,,,1.0,,0.518441946963757,0.30568116094431885,0.08501188475517667,0.6538461538461539,0.7347915242652084,40.0,40,40,10
Welch-t,logreg,with_missing_indicators,,,10.0,,0.5187178078827297,0.30568116094431885,0.08501188475517667,0.6538461538461539,0.7347915242652084,40.0,40,40,10
F-test,logreg,strict,,,0.01,,0.48133778049274895,0.3121746674378254,0.07736890017258254,0.6538461538461539,0.7218045112781954,40.0,40,40,10
F-test,logreg,strict,,,0.1,,0.4771100589877093,0.31219767075030225,0.08194378208440461,0.6442307692307693,0.7313738892686261,40.0,40,40,10
F-test,logreg,strict,,,1.0,,0.4549894676672661,0.3203999947420999,0.07844010126929299,0.6442307692307693,0.7149692412850308,40.0,40,40,10
F-test,logreg,strict,,,10.0,,0.4391130019125951,0.3296276092328724,0.07714032116392444,0.6442307692307693,0.696514012303486,40.0,40,40,10
F-test,logreg,with_missing_indicators,,,0.01,,0.44975229668026334,0.31408722856091276,0.08744909973262537,0.7115384615384616,0.6602870813397129,40.0,40,40,10
F-test,logreg,with_missing_indicators,,,0.1,,0.4526181480667534,0.3127891844997108,0.06661077610119695,0.6826923076923077,0.6917293233082706,40.0,40,40,10
F-test,logreg,with_missing_indicators,,,1.0,,0.5286968450647964,0.30613794100636205,0.059983034950238844,0.6057692307692307,0.7819548872180451,40.0,40,40,10
F-test,logreg,with_missing_indicators,,,10.0,,0.5294376911678234,0.3130192176244808,0.05639310676082066,0.5865384615384616,0.7874231032125769,40.0,40,40,10
Pearson,logreg,strict,,,0.01,,0.48133778049274895,0.3121746674378254,0.07736890017258254,0.6538461538461539,0.7218045112781954,40.0,40,40,10
Pearson,logreg,strict,,,0.1,,0.4771100589877093,0.31219767075030225,0.08194378208440461,0.6442307692307693,0.7313738892686261,40.0,40,40,10
Pearson,logreg,strict,,,1.0,,0.4549894676672661,0.3203999947420999,0.07844010126929299,0.6442307692307693,0.7149692412850308,40.0,40,40,10
